"MarkettypeID","TradingMonth","RiskPremium1","SMB1","HML1"
"P9705","2014-01","0.135836","0.001871","-0.049869"
"P9706","2014-01","-0.036335","0.056921","0.011125"
"P9707","2014-01","-0.007485","0.018067","0.016790"
"P9710","2014-01","-0.029804","0.065375","0.019261"
"P9709","2014-01","-0.030501","0.066744","0.019175"
"P9712","2014-01","-0.036335","0.056921","0.011125"
"P9713","2014-01","-0.035432","0.055657","0.011161"
"P9714","2014-01","-0.030501","0.066744","0.019175"
"P9715","2014-01","-0.029804","0.065375","0.019261"
"P9701","2014-01","-0.045462","0.033914","-0.006151"
"P9703","2014-01","-0.008544","0.063545","0.032781"
"P9716","2014-01","-0.045462","0.033914","-0.006151"
"P9717","2014-01","0.009396","0.070188","0.038998"
"P9705","2014-02","-0.016743","0.050361","-0.020135"
"P9706","2014-02","0.009725","0.038899","0.006902"
"P9707","2014-02","-0.028355","0.034518","-0.002122"
"P9710","2014-02","0.007549","0.035368","0.002356"
"P9709","2014-02","0.008693","0.036369","0.003771"
"P9712","2014-02","0.009725","0.038899","0.006902"
"P9713","2014-02","0.008503","0.037435","0.004885"
"P9714","2014-02","0.008693","0.036369","0.003771"
"P9715","2014-02","0.007549","0.035368","0.002356"
"P9701","2014-02","0.008818","0.031221","-0.002956"
"P9703","2014-02","0.012421","0.049477","0.000223"
"P9716","2014-02","0.008818","0.031221","-0.002956"
"P9717","2014-02","0.008372","0.042472","-0.004386"
"P9705","2014-03","-0.087035","0.002193","0.039034"
"P9706","2014-03","-0.016322","-0.003273","0.008321"
"P9707","2014-03","-0.024928","-0.012181","-0.006316"
"P9710","2014-03","-0.019177","-0.008492","0.002589"
"P9709","2014-03","-0.019003","-0.007872","0.003880"
"P9712","2014-03","-0.016322","-0.003273","0.008321"
"P9713","2014-03","-0.016586","-0.004145","0.006625"
"P9714","2014-03","-0.019003","-0.007872","0.003880"
"P9715","2014-03","-0.019177","-0.008492","0.002589"
"P9701","2014-03","-0.008618","0.002982","0.017989"
"P9703","2014-03","-0.039275","-0.000686","-0.009721"
