,mean,std,25%,50%,75%
营业利润,77.97074339693833,772.1626371661433,1.042318631,6.316670934,23.203820696
其中：优先股,4.389565962915442,170.62344862747702,1.7311222855699997e-19,3.75362903327e-19,9.959481631129998e-19
月收盘价,19.892203904763434,36.000529415383475,6.72,11.88,21.78
市盈率（PE）TTM,238.03240262413894,6052.217837195197,22.004791,40.852548,87.658681
长期负债合计,177.69449861585738,2739.9314501533277,1.97463485368e-05,5.343834797569999e-05,0.0006168373258665
负债合计,1866.393708038376,49589.48769973587,2.3513653294100004e-12,7.582105287750001e-12,20.233441327
净利润,20.96648941061664,389.0339930929002,1.526072578e-14,1.2032997942e-13,5.5245399999999986e-12
所有者权益合计,346.6983484653197,4817.855586828499,2.33305931673e-26,7.49921131553e-26,64.99873160499999
利润总额,26.013644876241898,481.66657744301995,1.546893367e-07,1.2095538301e-06,6.055e-05
资产总计,6957.008519276066,93502.14452066938,173.214478268,375.390459345,996.2668
